पतलून,trousers 
पाजामा,trousers 
ट्राउजरसूट,trouser suit
चिड़चिड़ी,बुढ़िया trout 
विक्रय,हेतु सब्जी-उत्पादन market gardening 
ट्रक,truck
मालगाड़ी,truck
रिग,ट्रक trucking rig
सही,true 
सही,true
ठीक,true
ठीक,true
स्वाभाविक,true
वास्तविक,true
ठीक,true
सधी,हुई true
असली,true
ठीक,true
पक्का,true
अटल,true
ठीक,तरह से लगा हुआ true
असली,true
ठिक,तरह से लगाना true
फिट,करना true
खरा,true
ठीक,तरीके से true
सही,true
सत्य,true
सत्य,true 
ठिक,तरह से लगाना true
फिट,करना true
ठिक,तरह से लगाना true
फिट,करना true
हमेशा,की तरह true to form
वास्तविक,true to life
उसी,की तरह true to type
ठीक,करना true 
सही,युक्ति trump card
सर्वोत्तम,साधन trump card
झुठा,आरोप trumped-up charge
झुठा,प्रमाण trumped-up evidence
झूठा,आरोप लगाना trump <something> up
से,बढ़ कर होना trump 
तना,trunk
कांड,trunk
सन्दूक,trunk
धड़,trunk
स्ंअदूक,trunk
सन्दूक,trunk
नली,trunk
ट्रंक,trunk
डाली,trunk
लाइन,trunk
धारा,trunk
तना,trunk
पेटी,trunk
लइन,trunk
धड़,trunk 
तना,trunk 
पुलिस,के हवाले कर देना trun <somebody> in
निकाल,देना trun <somebody> out
लौटाना,trun <something> in
सह,लेना trun the other cheek
पर,विशवास करना trust
पर,भरोसा करना करना trust
हवाले,करना trust
समिति,trustee
ट्रस्टी,trustee
न्यासी,trustee
व्यापार,संघ trust
साख,trust
न्यास,trust
सौपना,trust
पर,भरोसा करना trust
पर,भरोस करना trust
सौपना,trust
संगठन,trust
उद्योग-मंडल,trust
संपत्ति,trust
ईमानदारी,से trust
न्यास,रक्षक trust
भरोस,करना trust
क्रियाशीलता,activeness 
ज़िम्मेदारी,trust
विश्वास,रखना trust in <somebody>
विश्वास,रखना trust in <something>
विश्वास,trust 
भरोसा,रखना trust to <somebody>
भरोसा,रखना trust to <something>
पर,विशवास करना trust 
सत्यता,truth
सच्चाई,truth
सच्चाई,truth
वास्तविकता,truth
सच्चाई,truth
ईमानदारी,truth
वास्त्विकता,truth 
सच्चाई,truth 
मुकदमा,चलाना try 
कोशिश,करना try
प्रयत्न,करना try
कोशिश,करना try 
कोशिश,करना try
प्रयास,करना try
पास,क् next 
कठोर,परीक्षा लेना try
आज़माना,try
कोशिश,करना try
प्रयास,करना try
इस्तमाल,करना try
आज़माना,try
कोशिश,करना try
देखना,try
कोशिस,करना try
चखना,try
चखना,try
परखना,try
ब्ंअद,करना try
जाँच,करना try
पर्खना,try
परेशान,करना try
तंग,होना try
तंग,करना try
के,लिए कोशिश करना try for <something>
कोशिश,try
प्रयास,try
कोशिश,करना try
कोशिश,करना try
प्रयास,करना try
जाँच,try
परीक्षा,try
पूछ-ताछ,करना try
परखना,try
जाँचना,try
पूछ-ताछ,करना try
प्रयोग,try
इसतेमाल,करना try
कष्टकर,trying 
पूरी,कोशिश करना try <one's> best
ज़मीन-आसमान,एक कर देना try <one's> damnedest
पहली,बार प्रयास करना try <one's> hand at <something>
पहली,बार प्रयास करना try <one's> hand
भाग्य,आजमाना try <one's> luck
जी-तोड़,कोशिश करना try <one's> utmost
पहनकर,देखना try on
के,लिए तैयार होना try out for <something>
कठिन,परीक्षा लेना try <somebody> out
